Gene RTS Priority
HOXD8 1 Y
EN2 0.859609446 Y
PAX2 0.855418877 Y
CNPY1 0.840887486 Y
MIR9-3HG 0.71398318 Y
TLX1NB 0.684786894 Y
ZIC4 0.67364961 Y
LMX1B 0.623159186 Y
HOXB13 0.614745286 Y
GATA4 0.604236231 Y
LINC01749 0.599434509 Y
HOXC10 0.575531337 Y
HOXB-AS3 0.56129201 Y
PAX5 0.528142383 Y
PAX7 0.525830475 Y
ONECUT3 0.498143368 Y
UNCX 0.487042768 Y
ZIC5 0.484687667 Y
SCRG1 0.480115925 Y
PDX1 0.478584106 Y
RBFOX3 0.473108905 Y
EN1 0.468961996 Y
GSX1 0.464408697 Y
CDH22 0.462962338 Y
LHX2 0.461481819 Y
FENDRR 0.453109474 Y
HMX1 0.443204158 Y
LBX1 0.437203728 Y
PAX6 0.433329008 Y
LINC00461 0.427356383 Y
SIM2 0.425540517 Y
NKX2-6 0.425129955 Y
SIX3 0.42360775 Y
DLX6 0.416105499 Y
HOXC-AS3 0.415743234 Y
DKFZp686K1684 0.415009016 Y
HOXA7 0.412022116 Y
SFTA3 0.407906514 Y
ALX4 0.407318952 Y
HOXB6 0.394693023 Y
EMX1 0.394681924 Y
TFAP2A 0.394321096 Y
NR2E1 0.390804829 Y
C1orf61 0.386070931 Y
TBX5 0.38593981 Y
MNX1 0.385872234 Y
C5orf66 0.382015797 Y
NTNG2 0.379976345 Y
DLX4 0.378567117 Y
SRCIN1 0.376283445 Y
SLC32A1 0.371849255 Y
CDX2 0.369479544 Y
CFAP65 0.3668506 Y
POM121L2 0.359534772 Y
MSX1 0.357413177 Y
BARHL2 0.356762441 Y
TBX15 0.354313582 Y
LINC00261 0.353902571 Y
MIR3663HG 0.349364521 Y
VAX1 0.348677036 Y
NKX2-5 0.347539337 Y
ONECUT1 0.347445217 Y
SOX2-OT 0.345072008 Y
PRSS16 0.34133307 Y
NKX2-2 0.339666816 Y
PRDM13 0.333858322 Y
PITX2 0.331299788 Y
LINC01097 0.328279692 Y
CCDC140 0.322581386 Y
OTP 0.316555306 Y
NEUROG1 0.314329312 Y
LINC01574 0.312328798 Y
RSPO1 0.311705444 Y
TFAP2B 0.308532412 Y
GATA3 0.308517697 Y
NKX6-1 0.307511137 Y
LINC01398 0.305951331 Y
EPHA8 0.304248151 Y
FOXF2 0.303866484 Y
PTF1A 0.303781218 Y
BCAN 0.303617643 Y
SIM1 0.303521119 Y
OLIG3 0.303168061 Y
GATA2 0.302723707 Y
OTX2 0.297297832 Y
PAX9 0.297117158 Y
OLIG2 0.295503819 Y
TMEM132E 0.293455213 Y
FAAHP1 0.29309056 Y
DLX1 0.29235109 Y
TLX3 0.29222682 Y
LHX5 0.29190841 Y
NEUROD2 0.291053345 Y
LINC00403 0.290878704 Y
KCNQ2 0.290194437 Y
DLX2 0.289194824 Y
HAND1 0.289148649 Y
LINC01551 0.288047233 Y
METAP1D 0.287798939 Y
BARX1 0.286684347 Y
CRTAC1 0.282410907 Y
COL2A1 0.280745903 Y
EMX2OS 0.280635622 Y
POU3F3 0.280497993 Y
SKOR2 0.280040153 Y
LINC00682 0.279207764 Y
SOX17 0.278665308 Y
POU3F2 0.278613834 Y
GDF6 0.277916641 Y
CISTR 0.277691421 Y
CDKN2A 0.277656927 Y
RNF220 0.276756714 Y
FOXD1 0.276573177 Y
NKX2-3 0.276006207 Y
FOXA1 0.274680849 Y
HMX3 0.274451262 Y
SIX2 0.27435773 Y
WNT1 0.273904776 Y
TTLL6 0.272494887 Y
VAX2 0.270573933 Y
TBX3 0.267715181 Y
RAX 0.266517006 Y
ROBO3 0.262858561 Y
